checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,0.5000,7.61,0.680,0.140,0.180,1.000,0.000,0.8200,0.860,1.000,0.1800,0.500,1.000,0.030
10000,0.1300,8.22,0.430,0.270,0.300,1.000,0.000,0.4200,0.600,1.000,-0.1600,0.260,1.000,0.030
50000,0.0900,8.44,0.360,0.370,0.270,1.000,0.000,0.4800,0.600,1.000,-0.3000,0.120,1.000,0.030
