budget,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
10,0.9800,0.1990,2.20,0.66,0.072,,,,1.000,0.000,100
50,1.0000,0.0000,2.04,0.28,0.290,,,,1.000,0.000,100
100,1.0000,0.0000,2.08,0.39,0.573,,,,1.000,0.000,100
200,1.0000,0.0000,2.02,0.20,1.129,,,,1.000,0.000,100
500,1.0000,0.0000,2.00,0.00,2.972,,,,1.000,0.000,100
1000,1.0000,0.0000,2.00,0.00,6.487,,,,1.000,0.000,100
