checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,0.0800,12.32,0.540,0.000,0.460,1.000,0.000,0.4800,0.740,1.000,-0.3200,0.340,1.000,0.004
5000,0.2600,12.46,0.630,0.000,0.370,1.000,0.000,0.5600,0.780,1.000,-0.0400,0.480,1.000,0.004
10000,0.2600,11.38,0.630,0.000,0.370,1.000,0.000,0.4400,0.720,1.000,0.0800,0.540,1.000,0.004
