checkpoint,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms
1000,0.68,0.630555310817378,7.75,1.0988630487917956,0.3066226328450511,0.055096702772106515
10000,0.71,0.6526101439603893,7.03,1.5585570249432645,0.36724217174233126,0.07815929416892003
50000,0.56,0.7787168933572713,7.1,1.3152946437965904,0.3118580804739119,0.062241805543583106
70000,0.59,0.7758221445666525,6.9,1.3453624047073711,0.31327409336118417,0.07108983097145093
1000000,0.75,0.5722761571129799,6.01,1.5523852614605693,0.3075971182902754,0.06537948325497409
