budget,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
10,0.7600,,6.43,,0.362,0.850,0.060,0.090,1.000,0.000,100
50,0.9000,,6.24,,1.754,0.920,0.060,0.020,1.000,0.000,100
100,0.9400,,6.14,,3.470,0.950,0.040,0.010,1.000,0.000,100
200,0.9200,,6.19,,6.900,0.940,0.040,0.020,1.000,0.000,100
500,0.9200,,6.25,,17.173,0.920,0.080,0.000,1.000,0.000,100
1000,0.9500,,6.07,,35.438,0.950,0.050,0.000,1.000,0.000,100
