checkpoint,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms
1000,0.37,0.783007024234138,7.59,1.4838800490605701,0.5012557143475402,0.11566651082232367
10000,0.18,0.8292164976651151,8.41,0.8728688332160796,0.33143588619246056,0.08205189088280646
50000,0.21,0.8751571287488894,8.14,0.9593747964169165,0.3148199095111485,0.07327778741907812
70000,0.17,0.9061456836513652,8.42,0.8964373932405988,0.31302907497057686,0.06108593166417457
100000,-0.22,0.9335952013587044,8.11,0.9043782394551519,0.32543770490984153,0.07260845080611512
