checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,0.3600,7.14,0.650,0.060,0.290,1.000,0.000,0.6600,0.800,1.000,0.0600,0.500,1.000,0.002
10000,0.4200,6.28,0.700,0.020,0.280,1.000,0.000,1.0000,1.000,1.000,-0.1600,0.400,1.000,0.002
50000,0.6000,6.12,0.800,0.000,0.200,1.000,0.000,1.0000,1.000,1.000,0.2000,0.600,1.000,0.002
