budget,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
10,0.8800,,6.23,,2.353,0.910,0.060,0.030,1.000,0.000,100
50,0.9100,,6.01,,11.921,0.930,0.050,0.020,1.000,0.000,100
100,0.9600,,5.88,,23.439,0.970,0.020,0.010,1.000,0.000,100
200,0.9000,,6.14,,46.150,0.900,0.100,0.000,1.000,0.000,100
500,0.9700,,5.82,,118.252,0.980,0.010,0.010,1.000,0.000,100
1000,0.9300,,6.19,,229.833,0.950,0.030,0.020,1.000,0.000,100
