checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-1.0000,30.72,0.000,0.000,1.000,1.000,0.000,-1.0000,0.000,1.000,-1.0000,0.000,1.000,0.034
10000,-0.9400,306.48,0.030,0.000,0.970,1.000,0.000,-0.9200,0.040,1.000,-0.9600,0.020,1.000,0.036
50000,-0.9000,215.55,0.050,0.000,0.950,1.000,0.000,-0.8000,0.100,1.000,-1.0000,0.000,1.000,0.033
