checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-0.0600,8.07,0.320,0.300,0.380,1.000,0.000,0.2600,0.500,1.000,-0.3800,0.140,1.000,0.030
10000,-0.0900,8.38,0.280,0.350,0.370,1.000,0.000,0.3600,0.500,1.000,-0.5400,0.060,1.000,0.031
50000,0.0900,8.43,0.380,0.330,0.290,1.000,0.000,0.6200,0.720,1.000,-0.4400,0.040,1.000,0.030
