budget,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
10,1.0000,0.0000,21.56,13.41,1.178,,,,1.000,0.000,100
50,1.0000,0.0000,12.20,3.75,5.708,,,,1.000,0.000,100
100,1.0000,0.0000,10.10,2.37,11.116,,,,1.000,0.000,100
200,1.0000,0.0000,8.94,1.59,22.149,,,,1.000,0.000,100
500,1.0000,0.0000,8.26,0.78,52.390,,,,1.000,0.000,100
1000,1.0000,0.0000,8.00,0.00,102.647,,,,1.000,0.000,100
