checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,0.2000,12.36,0.600,0.000,0.400,1.000,0.000,0.6000,0.800,1.000,-0.2000,0.400,1.000,0.004
5000,0.3200,11.52,0.660,0.000,0.340,1.000,0.000,0.6800,0.840,1.000,-0.0400,0.480,1.000,0.003
10000,0.2200,12.58,0.610,0.000,0.390,1.000,0.000,0.6400,0.820,1.000,-0.2000,0.400,1.000,0.004
50000,0.2800,13.88,0.640,0.000,0.360,1.000,0.000,0.5600,0.780,1.000,0.0000,0.500,1.000,0.004
100000,0.3200,11.45,0.660,0.000,0.340,1.000,0.000,0.6800,0.840,1.000,-0.0400,0.480,1.000,0.004
