checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-1.0000,49.44,0.000,0.000,1.000,1.000,0.000,-1.0000,0.000,1.000,-1.0000,0.000,1.000,0.036
10000,-0.7000,392.86,0.150,0.000,0.850,1.000,0.000,-0.6800,0.160,1.000,-0.7200,0.140,1.000,0.034
50000,-0.7000,274.59,0.150,0.000,0.850,1.000,0.000,-0.5600,0.220,1.000,-0.8400,0.080,1.000,0.033
