checkpoint,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms
1000,0.81,0.523354564325181,6.62,1.6234531098864546,0.32368227528028126,0.06203788081703196
10000,0.39,0.8932524839036274,7.12,1.2592060990957756,0.3406313774631803,0.07449065153507808
50000,0.38,0.8576712656956627,7.67,1.0005498488331304,0.365338242535215,0.07738544621897256
70000,0.44,0.8867919710958143,7.45,1.0523782589924595,0.34285232282845957,0.07861369651601857
1000000,0.53,0.754387168501692,7.46,1.195156893466293,0.3417908433889297,0.07207666281941483
