checkpoint,mean_reward,std_reward,mean_steps,std_steps,termination_rate,truncation_rate,mean_action_time_ms,std_action_time_ms
1000,0.0000,0.0000,10000.00,0.00,0.000,1.000,0.023,0.008
10000,0.0000,0.0000,10000.00,0.00,0.000,1.000,0.023,0.002
50000,0.0000,0.0000,10000.00,0.00,0.000,1.000,0.023,0.004
