budget,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,win_rate,draw_rate,loss_rate,termination_rate,truncation_rate,num_games
10,1.0000,0.0000,2.04,0.28,0.111,,,,1.000,0.000,100
50,1.0000,0.0000,2.00,0.00,0.547,,,,1.000,0.000,100
100,1.0000,0.0000,2.00,0.00,1.089,,,,1.000,0.000,100
200,1.0000,0.0000,2.00,0.00,2.169,,,,1.000,0.000,100
500,1.0000,0.0000,2.00,0.00,5.472,,,,1.000,0.000,100
1000,1.0000,0.0000,2.00,0.00,10.888,,,,1.000,0.000,100
