checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-0.9800,45.66,0.010,0.000,0.990,1.000,0.000,-0.9600,0.020,1.000,-1.0000,0.000,1.000,0.033
10000,-0.7400,537.05,0.130,0.000,0.870,1.000,0.000,-0.7200,0.140,1.000,-0.7600,0.120,1.000,0.038
50000,-0.5000,451.64,0.250,0.000,0.750,1.000,0.000,-0.5600,0.220,1.000,-0.4400,0.280,1.000,0.037
100000,-0.6000,510.78,0.200,0.000,0.800,1.000,0.000,-0.6800,0.160,1.000,-0.5200,0.240,1.000,0.033
