checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-0.8200,190.02,0.090,0.000,0.910,1.000,0.000,-0.8800,0.060,1.000,-0.7600,0.120,1.000,0.036
10000,-0.6200,410.80,0.190,0.000,0.810,1.000,0.000,-0.6000,0.200,1.000,-0.6400,0.180,1.000,0.037
50000,-0.6200,340.54,0.190,0.000,0.810,1.000,0.000,-0.5200,0.240,1.000,-0.7200,0.140,1.000,0.037
100000,-0.6200,275.35,0.190,0.000,0.810,1.000,0.000,-0.7600,0.120,1.000,-0.4800,0.260,1.000,0.039
