checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-0.1300,8.28,0.280,0.310,0.410,1.000,0.000,0.1600,0.420,1.000,-0.4200,0.140,1.000,0.029
10000,0.0300,8.23,0.370,0.290,0.340,1.000,0.000,0.4000,0.580,1.000,-0.3400,0.160,1.000,0.028
50000,0.0600,8.43,0.370,0.320,0.310,1.000,0.000,0.4400,0.600,1.000,-0.3200,0.140,1.000,0.028
