checkpoint,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms
10,0.354,0.9352454223357631,21.234,16.439989172745825,0.43016878293442695,0.39759150287141787
50,0.09,0.995941765365827,26.464,17.337205772557468,0.4009250887768338,0.10854703897514383
100,-0.014,0.9999019951975294,24.342,13.739688351633017,0.42334735547261043,0.24463512906636473
500,0.578,0.8160367638777066,14.899,10.342765539254962,0.41536902939741477,0.13839321351751932
700,0.246,0.9692698282728087,14.501,10.258069945169998,0.4809693697337901,0.14777894698045646
1000,0.632,0.7749683864519895,14.456,10.777757837324051,0.9767525180378095,2.0424252118542054
