checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-0.3600,76.61,0.320,0.000,0.680,1.000,0.000,-0.3200,0.340,1.000,-0.4000,0.300,1.000,0.032
10000,-0.2600,299.51,0.370,0.000,0.630,1.000,0.000,-0.2800,0.360,1.000,-0.2400,0.380,1.000,0.032
50000,-0.3400,263.32,0.330,0.000,0.670,1.000,0.000,-0.5200,0.240,1.000,-0.1600,0.420,1.000,0.033
100000,-0.1200,263.84,0.440,0.000,0.560,1.000,0.000,-0.2800,0.360,1.000,0.0400,0.520,1.000,0.033
