checkpoint,mean_reward_combined,mean_steps_combined,win_rate_combined,draw_rate_combined,loss_rate_combined,termination_rate_combined,truncation_rate_combined,mean_reward_p0,win_rate_p0,termination_rate_p0,mean_reward_p1,win_rate_p1,termination_rate_p1,mean_action_time_ms
1000,-0.8600,145.98,0.070,0.000,0.930,1.000,0.000,-0.8400,0.080,1.000,-0.8800,0.060,1.000,0.034
10000,-0.4800,408.90,0.260,0.000,0.740,1.000,0.000,-0.3600,0.320,1.000,-0.6000,0.200,1.000,0.033
50000,-0.3800,373.03,0.310,0.000,0.690,1.000,0.000,-0.2400,0.380,1.000,-0.5200,0.240,1.000,0.033
100000,-0.4000,338.92,0.300,0.000,0.700,1.000,0.000,-0.2800,0.360,1.000,-0.5200,0.240,1.000,0.033
