checkpoint,mean_reward,std_reward,mean_steps,std_steps,mean_action_time_ms,std_action_time_ms
1000,0.94,0.31048349392520047,5.58,0.9816312953446421,0.3282039634186509,0.07804089819054336
10000,0.7,0.6708203932499369,7.48,1.5904716281656834,0.38432320595378305,0.09744003282429096
50000,0.67,0.6489221833163049,7.24,1.510761397441701,0.33167125308955964,0.06598224444973064
70000,0.58,0.7507329751649384,7.66,1.1508257904652641,0.29746305880561363,0.05663677763098426
1000000,0.51,0.8061637550770935,7.56,1.0229369482035537,0.3223004786068748,0.0718556262149145
